Advocate of the Beast
Aether Herder
Ajani's Comrade
Allosaurus Rider
Allosaurus Shepherd
Ambush Commander
Arbor Elf
Architect of the Untamed
Argothian Elder
Armorcraft Judge
Beastcaller Savant
Beast Whisperer
Behemoth's Herald
Birchlore Rangers
Bloodline Shaman
Bloom Tender
Borderland Explorer
Boreal Druid
Bramblewood Paragon
Brightwood Tracker
Caller of the Claw
Caller of the Untamed
Carapace Forger
Centaur's Herald
Civic Wayfinder
Copperhorn Scout
Cultivator of Blades
Cylian Elf
Darkwatch Elves
Decorated Champion
Deep Forest Hermit
Defiant Elf
Deranged Hermit
Devkarin Dissident
Devoted Druid
District Guide
Drove of Elves
Druid of the Cowl
Dwynen, Gilt-Leaf Daen
Dwynen's Elite
Eladamri, Lord of Leaves
Elder Druid
Elegant Edgecrafters
Elfhame Druid
Elf Replica
Elven Riders
Elvish Aberration
Elvish Archdruid
Elvish Archers
Elvish Bard
Elvish Berserker
Elvish Branchbender
Elvish Champion
Elvish Clancaller
Elvish Eulogist
Elvish Farmer
Elvish Handservant
Elvish Harbinger
Elvish Herder
Elvish House Party
Elvish Hunter
Elvish Lookout
Elvish Lyrist
Elvish Mystic
Elvish Pathcutter
Elvish Pioneer
Elvish Piper
Elvish Promenade
Elvish Ranger
Elvish Reclaimer
Elvish Rejuvenator
Elvish Scout
Elvish Scrapper
Elvish Skysweeper
Elvish Soultiller
Elvish Spirit Guide
Elvish Vanguard
Elvish Visionary
Elvish Warrior
Entourage of Trest
Essence Warden
Everglove Courier
Evolution Sage
Ezuri, Renegade Leader
Ezuri's Archers
Ezuri's Brigade
Farhaven Elf
Fauna Shaman
Fierce Empath
Fin-Clade Fugitives
Frontier Guide
Fyndhorn Druid
Fyndhorn Elder
Fyndhorn Elves
Gaea's Herald
Gamekeeper
Gempalm Strider
Generous Patron
Ghirapur Guide
Gilanra, Caller of Wirewood
Gilt-Leaf Ambush
Gilt-Leaf Archdruid
Gilt-Leaf Seer
Gladecover Scout
Gladehart Cavalry
Glissa Sunseeker
Glistener Elf
Golgari Decoy
Golgari Raiders
Greatbow Doyen
Greenhilt Trainee
Greenseeker
Greenside Watcher
Greenweaver Druid
Greenwheel Liberator
Greenwood Sentinel
Growth-Chamber Guardian
Gyre Sage
Heart Warden
Heedless One
Heritage Druid
Highspire Artisan
Hunting Triad
Immaculate Magistrate
Imperious Perfect
Incubation Druid
Ivy Lane Denizen
Ivy Seer
Jagged-Scar Archers
Joiner Adept
Joraga Bard
Joraga Treespeaker
Joraga Visionary
Joraga Warcaller
Jungle Wayfinder
Kaysa
Keeper of Progenitus
Krosan Drover
Kujar Seedsculptor
Leaf Gilder
Leovold's Operative
Lifecraft Cavalry
Lifespring Druid
Llanowar Augur
Llanowar Druid
Llanowar Elite
Llanowar Elves
Llanowar Empath
Llanowar Envoy
Llanowar Mentor
Llanowar Scout
Llanowar Sentinel
Llanowar Tribe
Llanowar Visionary
Lys Alana Bowmaster
Lys Alana Huntmaster
Maraleaf Rider
Marwyn, the Nurturer
Masked Admirers
Mul Daya Channelers
Multani's Acolyte
Narnam Renegade
Nath's Elite
Nettle Sentinel
Nissa's Chosen
Nissa, Vastwood Seer // Nissa, Sage Animist
Nomadic Elf
Norwood Archers
Norwood Priestess
Norwood Ranger
